customEvent:face_count | deviceCategory | eventCount
1472983 | desktop | 1
1473734 | desktop | 1
1477 | desktop | 1
1477826 | desktop | 1
147789 | desktop | 1
147839 | desktop | 1
1483014 | desktop | 1
14834 | desktop | 1
14835 | desktop | 1
14837 | desktop | 1
148776 | desktop | 1
1490012 | desktop | 1
1490016 | desktop | 1
1490246 | desktop | 1
1490360 | desktop | 1
1495246 | desktop | 1
1495248 | desktop | 1
1495372 | desktop | 1
1495502 | desktop | 1
149555 | desktop | 1
149576 | desktop | 1
1496242 | desktop | 1
1497642 | desktop | 1
1498474 | desktop | 1
1498508 | desktop | 1
1498732 | desktop | 1
1498872 | desktop | 1
1498982 | desktop | 1
1499170 | desktop | 1
1499202 | desktop | 1
1499280 | desktop | 1
1499360 | desktop | 1
1499480 | desktop | 1
1499504 | desktop | 1
1499506 | desktop | 1
1499557 | desktop | 1
1499590 | desktop | 1
1499678 | desktop | 1
1499686 | desktop | 1
1499716 | desktop | 1
1499754 | desktop | 1
1499762 | desktop | 1
1499888 | desktop | 1
1499924 | desktop | 1
1499954 | mobile | 1
1499956 | desktop | 1
1499964 | desktop | 1
1499978 | desktop | 1
1499987 | desktop | 1
150 | desktop | 1
1500000 | desktop | 1
1500012 | desktop | 1
1500028 | desktop | 1
1500080 | desktop | 1
1500116 | desktop | 1
1500298 | desktop | 1
15022 | desktop | 1
150502 | desktop | 1
1505323 | desktop | 1
15080 | desktop | 1
15095 | desktop | 1
150970 | desktop | 1
151168 | desktop | 1
1514 | desktop | 1
15208 | desktop | 1
1522 | desktop | 1
152256 | desktop | 1
152580 | desktop | 1
1526540 | desktop | 1
152766 | desktop | 1
152827 | desktop | 1
153684 | desktop | 1
1537984 | desktop | 1
153998 | desktop | 1
154128 | desktop | 1
154568 | desktop | 1
1546921 | desktop | 1
15475 | desktop | 1
1548734 | desktop | 1
15520 | desktop | 1
155365 | desktop | 1
1554 | desktop | 1
15540 | desktop | 1
15552 | desktop | 1
15594 | desktop | 1
155994 | desktop | 1
1561240 | desktop | 1
156398 | desktop | 1
15641 | desktop | 1
15644 | desktop | 1
1565 | desktop | 1
15700 | desktop | 1
157244 | desktop | 1
157424 | desktop | 1
1574427 | desktop | 1
157545 | desktop | 1
158468 | desktop | 1
1585492 | desktop | 1
15863 | desktop | 1
15866 | desktop | 1
158978 | desktop | 1
15924 | desktop | 1
1599018 | desktop | 1
1600320 | desktop | 1
1600322 | desktop | 1
1602 | desktop | 1
1614067 | mobile | 1
16142 | desktop | 1
161471 | desktop | 1
1615316 | desktop | 1
16160 | desktop | 1
1616170 | desktop | 1
1617784 | desktop | 1
164012 | desktop | 1
164436 | desktop | 1
164492 | desktop | 1
1646332 | desktop | 1
1651572 | desktop | 1
165174 | desktop | 1
1660286 | desktop | 1
166658 | desktop | 1
1667094 | desktop | 1
1667573 | desktop | 1
167239 | desktop | 1
167712 | desktop | 1
1677233 | desktop | 1
16775 | desktop | 1
167833 | desktop | 1
167909 | desktop | 1
168328 | desktop | 1
168513 | desktop | 1
168824 | mobile | 1
1693392 | mobile | 1
1699596 | desktop | 1
1700502 | desktop | 1
17032 | desktop | 1
1706253 | desktop | 1
17068 | desktop | 1
171169 | desktop | 1
1713707 | desktop | 1
171406 | desktop | 1
1715083 | desktop | 1
171538 | desktop | 1
17233 | desktop | 1
173552 | desktop | 1
174523 | desktop | 1
17482 | desktop | 1
175388 | desktop | 1
1755640 | desktop | 1
1757305 | desktop | 1
175773 | desktop | 1
17578 | desktop | 1
176 | mobile | 1
1760 | desktop | 1
176124 | desktop | 1
17614 | desktop | 1
1764 | desktop | 1
1765978 | desktop | 1
1766037 | desktop | 1
176627 | desktop | 1
1766380 | desktop | 1
17678 | desktop | 1
17768 | desktop | 1
178876 | desktop | 1
17902 | desktop | 1
1793203 | desktop | 1
17936 | desktop | 1
1793736 | desktop | 1
1794134 | desktop | 1
1796 | mobile | 1
1796712 | mobile | 1
179704 | desktop | 1
1800 | desktop | 1
180041 | desktop | 1
180130 | desktop | 1
18018 | mobile | 1
1807328 | desktop | 1
1808262 | desktop | 1
1808391 | desktop | 1
180992 | desktop | 1
181209 | desktop | 1
181213 | desktop | 1
181309 | desktop | 1
1815496 | desktop | 1
1816 | desktop | 1
18166 | desktop | 1
181945 | desktop | 1
182449 | desktop | 1
1825186 | desktop | 1
182734 | desktop | 1
1830088 | desktop | 1
18302 | desktop | 1
183271 | desktop | 1
1832897 | desktop | 1
183386 | desktop | 1
183562 | desktop | 1
1835693 | desktop | 1
18364 | desktop | 1
184307 | desktop | 1
184972 | desktop | 1
1851324 | desktop | 1
1852950 | desktop | 1
1853044 | desktop | 1
185581 | desktop | 1
1857012 | desktop | 1
1860351 | desktop | 1
1860354 | desktop | 1
1861298 | desktop | 1
1863721 | desktop | 1
1865272 | desktop | 1
18657 | desktop | 1
186692 | desktop | 1
186779 | desktop | 1
186935 | desktop | 1
187051 | desktop | 1
1870874 | desktop | 1
1871565 | desktop | 1
1874665 | desktop | 1
1876537 | desktop | 1
187778 | desktop | 1
18791 | desktop | 1
188 | mobile | 1
1880938 | desktop | 1
1883088 | desktop | 1
1883714 | desktop | 1
1884 | desktop | 1
1886 | desktop | 1
18869 | desktop | 1
188952 | desktop | 1
18898 | mobile | 1
1890354 | desktop | 1
1890634 | desktop | 1
189179 | desktop | 1
1894675 | desktop | 1
1896401 | desktop | 1
189671 | desktop | 1
1896808 | desktop | 1
1897078 | desktop | 1
1898813 | desktop | 1
19008 | desktop | 1
1901000 | desktop | 1
1901921 | desktop | 1
1902346 | desktop | 1
190478 | desktop | 1
1905866 | desktop | 1
19062 | desktop | 1
19065 | desktop | 1
19069 | desktop | 1
1907916 | desktop | 1
190910 | desktop | 1
1910102 | desktop | 1
1910181 | desktop | 1
1910252 | desktop | 1
19120 | desktop | 1
1912779 | desktop | 1
1914448 | mobile | 1
1915620 | desktop | 1
1916573 | desktop | 1
1917033 | desktop | 1
1917578 | desktop | 1
1917636 | desktop | 1
1919244 | desktop | 1
1919292 | desktop | 1
1919306 | desktop | 1
1919308 | desktop | 1
1919319 | desktop | 1
1922095 | desktop | 1
192364 | desktop | 1
1923738 | desktop | 1
192426 | mobile | 1
192446 | desktop | 1
192581 | desktop | 1
1926444 | desktop | 1
1926674 | desktop | 1
19272 | desktop | 1
19304 | desktop | 1
193119 | desktop | 1
1931342 | desktop | 1
1931352 | desktop | 1
1932773 | desktop | 1
1935070 | desktop | 1
1935990 | desktop | 1
1936002 | desktop | 1
1937589 | desktop | 1
1938131 | desktop | 1
1939054 | desktop | 1
1939528 | desktop | 1
1939529 | desktop | 1
194059 | desktop | 1
1940615 | desktop | 1
1941526 | desktop | 1
