id	categories	faces	native 0.5.0 after	native final after	verdict(native)	audit 0.5.0 flagged steps	audit final flagged steps	ASan final	WASM 0.5.0	WASM final
108785	clean	13956	wt/h0/c1/z0/v45854.7	wt/h0/c1/z0/v45854.2	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
109131	multi	8340	wt/h0/c2/z0/v1775.4	wt/h0/c2/z0/v1775.4	same	0	0	completed	wt/h0/c2/z0	wt/h0/c2/z0
110025	degen,selfint	5950	wt/h0/c1/z39/v2897.4	wt/h0/c1/z0/v2897.4	better:degen-	0	0	completed	wt/h0/c1/z39	wt/h0/c1/z0
110172	clean	1028	wt/h0/c1/z3/v40005.7	wt/h0/c1/z0/v40005.7	better:degen-	0	0	completed	wt/h0/c1/z3	wt/h0/c1/z0
110358	clean	1056	wt/h0/c1/z0/v16844.9	wt/h0/c1/z0/v16844.9	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
110375	multi	1540	wt/h0/c4/z0/v102.9	wt/h0/c4/z0/v102.9	same	0	0	completed	wt/h0/c4/z0	wt/h0/c4/z0
110908	clean	3440	wt/h0/c1/z0/v6652.5	wt/h0/c1/z0/v6652.4	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
110934	nmV,nmE,degen,unoriented	11626	wt/h0/c1/z0/v70809.1	wt/h0/c1/z0/v70808.8	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
112419	selfint	213126	wt/h0/c1/z368/v6.7	wt/h0/c1/z0/v6.7	better:degen-	0	0	completed	wt/h0/c1/z368	wt/h0/c1/z0
112798	nmV,nmE,open,degen,dup,multi,selfint	1564917	open/h174/c79/z2141/v653024.2	wt/h0/c13/z0/v652937.2	better:wt,holes-,degen-,comps-	0	0	(>20MB, skipped)	open/h174/c79/z2141	wt/h0/c13/z0
118033	nmV,open,selfint	45540	wt/h0/c1/z17/v6649.2	wt/h0/c1/z0/v6649.2	better:degen-	0	0	completed	wt/h0/c1/z17	wt/h0/c1/z0
118099	nmV,nmE,open,degen,multi,unoriented,selfint	1314	open/h3/c8/z6/v28889	wt/h0/c5/z0/v28441.7	better:wt,holes-,degen-,comps-	0	0	completed	open/h3/c8/z6	wt/h0/c5/z0
118916	clean	4746	wt/h0/c1/z0/v9379.7	wt/h0/c1/z0/v9379.7	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
121398	clean	364	wt/h0/c1/z0/v4770.5	wt/h0/c1/z0/v4770.5	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
121404	multi	2568	wt/h0/c8/z0/v3310.7	wt/h0/c8/z0/v3310.7	same	0	0	completed	wt/h0/c8/z0	wt/h0/c8/z0
122349	clean	224	wt/h0/c1/z0/v13896.1	wt/h0/c1/z0/v13895.9	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
123045	clean	264	wt/h0/c1/z0/v24486.1	wt/h0/c1/z0/v24486.1	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
125102	selfint	75898	wt/h0/c1/z1/v52656.3	wt/h0/c1/z0/v52656.4	better:degen-	0	0	completed	wt/h0/c1/z1	wt/h0/c1/z0
126195	clean	884	wt/h0/c1/z0/v1941.6	wt/h0/c1/z0/v1941.6	same	0	0	completed	wt/h0/c1/z0	wt/h0/c1/z0
